Translation,Target
"Watermelon contains a red substance called lycopene which is rich in calcium. And we all know calcium keeps bones strong and healthy. As people grow older, bones become weaker day by day, so regular consumption of watermelon is very helpful in keeping the bone structure healthy and strong.",Valid Information
A lot of calcium and potassium in watermelon keeps our blood pressure normal. So those who suffer from blood pressure problems should keep watermelon regularly in their diet.,Valid Information
A lot of calcium and potassium in watermelon keeps our blood pressure normal. So those who suffer from blood pressure problems should keep watermelon regularly in their diet.,Valid Information
"People who have a lot of breathing problems or asthma problems can cure asthma by keeping watermelon in their diet regularly. Besides common people, who have a lot of cold problems, if they eat watermelon regularly, it is possible to prevent allergies. Because watermelon has a lot of vitamin C which is very effective in curing allergies or asthma.",Valid Information
"Sweet pumpkin seeds play an important role in treating arthritis pain. Sweet pumpkin seeds do not increase the amount of fat that breaks down in the joints. The broken down fat accumulates in the joints causing pain. Thus, sweet pumpkin seeds reduce the pain of arthritis by preventing the accumulation of fat. On the other hand, being a natural substance, it has no side effects.",Valid Information
"30% of people over 50 years of age have small fractures of the lumbar spine and 8% have osteoporosis. The main cause of osteoporosis is zinc deficiency in the body. And this zinc-rich natural food source is sweet pumpkin seeds. So by keeping the very available and affordable sweet pumpkin seeds in the diet, we will be able to prevent the loss of other bones of the body including waist, spine bones.",Valid Information
"Phytosterols are special chemical compounds found in plants. If we consume enough phytosterols in daily diet. Then it reduces blood cholesterol in our body, increases immunity and prevents cancer. A special source of this phytosterol is sweet pumpkin seeds. Sweet pumpkin seeds contain more than twice the amount of phytostel present in nuts. The amount of which is 265 mg or 100 grams.",Valid Information
"Zinc regulates the structure and function of our body's cell membranes. Zinc deficiency results in reduced fertility, thin and weak children. In addition, zinc plays an important role in regulating the functions of about 200 enzymes. Sweet pumpkin seeds are rich in zinc. By eating a few sweet pumpkin seeds every day, we can prevent various diseases including increasing reproductive capacity, giving birth to strong children.",Valid Information
"Iron plays a role in the formation of red blood cells and muscles in our body. Iron provides oxygen to our body and helps the body to produce the necessary energy. Iron deficiency causes anemia. A woman's body needs more iron than a man. Sweet pumpkin seeds are rich in iron. Eating 35 grams of sweet pumpkin seeds per day will meet about 30% of the daily requirement. Baby growth, lactating mothers, athletes should include sweet pumpkin seeds in daily diet.",Valid Information
"Manganese is an essential chemical element for the body. Manganese deficiency causes the brain and nerve cells to lose normal function. The result is Alzheimer's, schizophrenia and epilepsy. It also causes diabetes, heart disease and arthritis pain. Since sweet pumpkin seeds are rich in manganese; So by eating some pumpkin seeds every day you can get relief from these diseases.",Valid Information
"Manganese is an essential chemical element for the body. Manganese deficiency causes the brain and nerve cells to lose normal function. The result is Alzheimer's, schizophrenia and epilepsy. It also causes diabetes, heart disease and arthritis pain. Since sweet pumpkin seeds are rich in manganese; So by eating some pumpkin seeds every day you can get relief from these diseases.",Valid Information
"Benign prostatic hypertrophy or BPH, which is known as prostate gland tumor in simple Bengali. As a result of this disease, the prostate gland becomes enlarged. Testosterone hormone and its dihydrotestosterone hormone overstimulate prostate gland cells. As a result, the prostrate gland grows rapidly through the creation of new cells and the tumor of the prostate gland is formed. Sweet pumpkin seed oil is capable of controlling prostate gland tumors. Because sweet pumpkin seeds contain omega-3 fatty acids, zinc and carotenoids. which controls tumors of the prostate gland.",Valid Information
The benefits of neem leaves in hair care are manifold. Hair growth to dandruff removal is all possible with neem leaves. Neem contains azadirachtin. It is an active compound that fights hair and skin damaging parasites (eg lice). Protects hair by inhibiting the growth of parasites called Azadirachtin.,Valid Information
"Neem leaves play an incredible role in the treatment of peptic ulcers. According to a 2009 phytotherapy study, this is what it says. Peptic ulcers, also known as stomach ulcers, can cause abdominal pain and other symptoms due to the production of too much stomach acid. Studies suggest that neem leaf extract partially inhibits the secretion of this acid. As a result, it helps reduce the symptoms of cancer.",Valid Information
"Neem leaves are rich in fatty acids, including oleic, stearic, palmitic and linoleic acids. As a result, neem leaves have anti-inflammatory, antioxidant and antimicrobial properties that play a huge role in skin care. Neem leaves can also help in curing acne and other skin diseases due to their anti-inflammatory and antibacterial properties.",Valid Information
"The benefits of neem leaves in boosting immunity are manifold. If you chew a handful of clean neem leaves daily, you can protect yourself from almost hundreds of diseases. Gain the ability to fight against various viral and bacterial infections.",Valid Information
Neem leaves help in maintaining the alkaline level of saliva in the mouth. Fights the germs in the mouth and plays a major role in fresh breath.,Valid Information
"Not to mention the role of neem leaves in lowering blood sugar levels. If you are a diabetic patient, neem leaves will act as a great medicine to control your diabetes.",Valid Information
Neem leaves play a very effective role in dental care. Several studies have shown that neem leaves help fight plaque build-up on teeth and prevent a type of gum disease called gingivitis.,Valid Information
"Another unique among the many benefits of neem leaves is that it also plays a very good role in eye care. If you feel any discomfort, irritation, fatigue or redness in the eyes, then you can use neem leaves as a first aid.",Valid Information
"Neem leaves are anti-fungal and anti-bacterial. So it is not paired with skin protection. In case of acne infection, neem leaves are crushed and good results are guaranteed!",Valid Information
"Many people have itchy scalp. Regular application of neem leaf juice on scalp reduces this itchiness, strengthens hair, reduces hair dryness and promotes new hair growth.",Valid Information
Applying neem leaves on skin itch not hair is beneficial.,Valid Information
"Regular application of raw turmeric paste with neem leaves improves skin radiance and corrects skin tone. However, if you use turmeric, it is better to avoid the sun. The amount of turmeric will be less than that of neem leaves!",Valid Information
"Consuming neem leaves cures our body's junk i.e. speeds up the body's digestive system as well as removes toxins and improves blood purity. As a result, the body will get rid of constipation and your skin will be clear. For this, 3/4 neem leaves should be chewed daily. Phew!! Is the face bitter now?? Hey give a simple solution! Make small pills of neem leaves and dry them in the sun. Store in a glass jar after drying well. Take 2/3 pill every morning with water!",Valid Information
Mix boiled neem leaves with bath water. Those with skin irritations and itchiness are expected to find relief and reduce body odor.,Valid Information
Neem leaves can be boiled in a water bottle and kept in the fridge. You can use this neem water instead of water while applying any face pack paste.,Valid Information
It goes without saying that neem dal is good for teeth. It is very effective in preventing bad breath and tooth decay.,Valid Information
Neem leaf juice acts as a herbal remedy for cuts and burns.,Valid Information
Neem leaves can be dried in the sun and powdered. Later to use as a face mask.,Valid Information
"Raw turmeric has some gastro-protective properties that help in digestion. As a result, raw turmeric is very beneficial for digestive disorders, gas problems.",Misinformation
"Due to the anti-inflammatory and anti-oxidant properties of curcumin in turmeric, it protects the esophagus from various bacterial attacks. In the food we eat every day, many germs can remain. Consuming raw turmeric or turmeric powder in food protects the esophagus from harmful bacteria and reduces the possibility of esophagitis.",Misinformation
"Since ancient times, raw turmeric has been used in various bone diseases. We all know about applying lime-yellow when the hand or foot is sprained. Besides, applying raw turmeric beet to the broken bone is beneficial. Eating with raw turmeric in milk is also beneficial in this regard. The anti-inflammatory properties of turmeric reduce pain, inflammation and protect bone tissue and help repair broken bones.",Misinformation
Curcumin in raw turmeric maintains balance between bone loss and bone formation and keeps bones healthy and strong. Raw turmeric also saves us from the bone loss that women experience during menopause.,Misinformation
"Curcumin in turmeric helps reduce all the bad, scary memories associated with post-traumatic stress disorder. Besides, the anti-inflammatory properties of raw turmeric relieve us from stress or anxiety.",Misinformation
"Turmeric and curcumin present in turmeric act as anti-diabetic agents and help lower blood sugar levels. Besides, raw turmeric regulates the action of insulin hormone, keeps the blood sugar level under control and keeps the pancreas healthy.",Misinformation
"Raw turmeric has been used since ancient times to preserve skin radiance and reduce skin ageing. Hence turmeric is used as an essential ingredient in various creams. Raw turmeric paste can be prepared at home and applied on the face to protect the skin from various skin blemishes, wrinkles and sun tan. The anti-oxidant properties of curcumin present in turmeric protect the skin from signs of aging.",Misinformation
"Curcumin present in raw turmeric helps to eliminate cancer. Curcumin stops the growth of cancer cells and causes them to die. As a result, the chances of cancer are reduced. Various studies have shown that the risk of about 56 types of cancer is reduced by regular consumption of raw turmeric.",Misinformation
"Curcumin present in turmeric saves us from arthritis in many ways. Raw turmeric acts as an anti-inflammatory agent and protects bone cells. As a result, those who suffer from rheumatoid arthritis, it has been found that if they eat raw turmeric regularly, it reduces the pain and helps in the movement of bone joints.",Misinformation
"The anti-oxidant properties of raw turmeric helps us to clear our sad mood, moodiness, depression and calm our mind.",Misinformation
"Regular consumption of raw turmeric can significantly reduce our risk of stroke in one fell swoop. Apart from this, the anti-oxidant and anti-inflammatory properties of raw turmeric also provide many benefits in post-stroke treatment. Raw turmeric also protects the heart from various damages. Besides, raw turmeric also helps to reduce the possibility of heart attack after surgery.",Misinformation
"Raw turmeric protects the enamel layer on top of the teeth and protects the teeth from tooth decay. Turmeric also protects teeth from germs due to its anti-bacterial properties. Therefore, turmeric is often used as an essential ingredient in various toothpastes. Besides, raw turmeric can be eaten regularly to reduce bleeding from the gums and to heal wounds inside the mouth.",Misinformation
"As raw turmeric has anti-obesity properties, regular consumption of raw turmeric prevents accumulation of fat in the body and increases the rate of metabolism.",Misinformation
"Curcumin present in turmeric helps to reduce influenza, cold. Besides, raw turmeric increases the immunity of our body and gives relief from cold. Vitamin C present in raw turmeric also helps in reducing cold.",Misinformation
Cooking at high temperatures causes the oxidation of cooking oil to produce many harmful substances that can cause cancer and fibrosis. So applying raw turmeric paste or coating the cooking items with turmeric powder and then cooking with it reduces the oxidation of the cooking oil and also reduces our chances of cancer.,Misinformation
The anti-inflammatory properties of raw turmeric help in reducing the pain in our lower abdomen.,Misinformation
"As raw turmeric has anti-oxidant properties, it saves us from anemia. Girls are generally prone to anemia, so consuming raw turmeric regularly is very beneficial for them. Besides, curcumin present in turmeric protects red blood cells. Due to its high iron content, turmeric also helps in treating iron deficiency in the blood.",Misinformation
"Alzheimer's has now become a serious disease worldwide. Curcumin in turmeric helps treat Alzheimer's. Turmeric's anti-inflammatory, anti-oxidant properties, ability to protect memory are useful in the treatment of Alzheimer's. It has been found that eating raw turmeric regularly reduces the chances of this disease.",Misinformation
"Curcumin in turmeric clears the airways and improves breathing. As a result, if you have asthma, try eating raw turmeric regularly, you will get benefits easily.",Misinformation
Hepatitis causes inflammation of our liver. The anti-inflammatory and anti-viral properties of raw turmeric save us from liver inflammation during hepatitis. Turmeric also protects us from hepatitis virus. Regular consumption of raw turmeric protects the liver from damage and helps maintain normal liver function.,Misinformation
"Regular consumption of raw turmeric reduces our chances of goiter. Besides, curcumin present in turmeric helps us to get rid of thyroid inflammation.",Misinformation
"Turmeric is said to be a plant source of phyto-estrogens or estrogen hormones. Estrogen is a very important hormone in the female body. Raw turmeric's pain-relieving properties, anti-inflammatory, anti-oxidant properties and anti-depression properties help in many ways during menopause.",Misinformation
"Various researches have shown that curcumin present in turmeric saves us from urinary tract infections. Moreover, the anti-biotic and anti-bacterial properties of raw turmeric protect the urinary tract from germs.",Misinformation
The anti-biotic and anti-bacterial properties of raw turmeric help heal various wounds quickly and help new skin grow at the wound site. Raw turmeric helps reduce post-operative pain and burns.,Misinformation
"Curcumin present in raw turmeric keeps the blood flow in the brain normal and protects the brain from age related problems. Apart from this, regular consumption of raw turmeric benefits us to maintain 'mood' and improve memory.",Misinformation
"Curcumin in raw turmeric and turmeric has some gene-protective properties. As a result, it protects our DNA from damage in various ways. The DNA of all cells resulting from cancer. are damaged, sensitizing them to the components of raw yellow chemotherapy. Besides, it has been reported from various researches that raw turmeric paste or extract protects 80 percent of DNA of cells.",Misinformation
"If our body is poisoned by metals, raw turmeric helps us to get rid of it. Raw turmeric is beneficial in body poisoning from lead, aluminum, mercury, cadmium. All the people who live in mining areas should consume raw turmeric regularly to avoid this metal poisoning.",Misinformation
"Curcumin and anti-inflammatory properties in raw turmeric keep the pancreas healthy and protect the pancreas from inflammation. Apart from this, regular consumption of raw turmeric also relieves pancreatic cancer.",Misinformation
"The anti-inflammatory properties of curcumin present in turmeric relieve us from the inflammation of various muscle tension diseases like arthritis, osteo-arthritis, osteoporosis etc. Raw turmeric also protects us from the breakdown of muscle fibers.",Misinformation
Curcumin present in raw turmeric builds anti-oxidant defense in our body and thereby frees us from thalassemia.,Misinformation
Tobacco and nicotine from smoking damage our lungs. The curcumin present in raw turmeric protects the lungs from minor damage and reduces lung inflammation.,Misinformation
"Eating raw turmeric regularly keeps our liver healthy and the gallbladder works properly. Besides, raw turmeric protects us from liver inflammation.",Misinformation
"Raw turmeric helps us to avoid gastric inflammation, brain and fatty liver disease caused by regular drinking. It has been found that about 78.9 percent of fatty liver disease is reduced as a result of eating raw turmeric regularly.",Misinformation
"Various researches have shown that curcumin present in raw turmeric significantly reduces cholesterol in just 12 weeks. Those who are suffering from cholesterol problem and have to take medicine regularly, they can eat raw turmeric regularly. You will benefit.",Misinformation
"Curcumin present in raw turmeric opens up our blood vessels and removes blockages in blood flow. As a result, blood pressure decreases.",Misinformation
"Raw turmeric helps purify the blood and keeps the blood clean. Hence, raw turmeric has been used as various Ayurvedic medicines since ancient times.",Misinformation
"If you have abdominal pain before or during periods, then eat raw turmeric regularly. The anti-inflammatory properties of raw turmeric help reduce stomach pain. Besides, if you have poly-cystic ovary, eat raw turmeric regularly, you will get benefits.",Misinformation
"The anti-inflammatory and anti-bacterial properties of raw turmeric reduce acne on the face. To get rid of acne problem, regularly apply raw turmeric paste on the face and eat it, you will see the benefits soon.",Misinformation
"Raw turmeric acts as an anti-allergic. As a result, raw turmeric can help if you are prone to skin and food allergies.",Misinformation
"Raw turmeric keeps our liver and kidneys healthy from the side effects of various drugs, which are caused by gastric problems. Besides, raw turmeric itself is often used as medicine for various diseases.",Misinformation
"Raw turmeric is 5 to 8 times more powerful antioxidant than vitamin E and vitamin C. As a result, eating raw turmeric regularly increases our immunity and saves us from various diseases.",Misinformation
Milk mixed with raw turmeric produces amino acids and tryptophan that act as anti-insomnia drugs and promote restful sleep.,Misinformation
"Raw turmeric increases mucus movement in the brain. As a result, it relieves sinus problems and other headaches.",Misinformation
"Estrogen hormone present in raw turmeric helps in female fertility. Besides, if you have problems with pregnancy due to hormonal problems, then eat raw turmeric mixed with milk regularly, you will get benefits.",Misinformation
"As a result of various scientific tests, it has been found that the curcumin and anti-oxidant properties present in raw turmeric reduce the chances of leukemia in children to a great extent.",Misinformation
"Raw turmeric also relieves us from dandruff problems, hair fall problems, etc.",Misinformation
"Tamarind helps in increasing the digestive power in our body. Due to which we can get rid of problems like stomach pain, gastric, diarrhea.",Misinformation
Constipation can be relieved in our body by eating Tetul regularly.,Misinformation
Bark or bark of tamarind tree helps our body to get rid of stomach ache. So those who have this problem can eat processed tamarind tree bark or bark.,Misinformation
Bark or bark of tamarind tree helps our body to get rid of stomach ache. So those who have this problem can eat processed tamarind tree bark or bark.,Misinformation
Tamarind is completely fat free. Also tamarind helps in reducing the weight in our body as it controls the sugar level.,Misinformation
Tamarind contains antioxidants. Which plays a role in preventing our human cancer germs. Turmeric plays a very effective role in preventing cancer in the body.,Misinformation
The leaves and bark of the tamarind tree are highly antiseptic. Which plays an effective role in healing various types of wounds in our body.,Misinformation
Tamarind helps to increase the glow of our skin. It also protects the skin from the harmful ultraviolet rays of the sun.,Misinformation
Consuming turmeric seed powder regularly plays a role in preventing ulcers in our body.,Misinformation
Tamarind helps reduce the effect of cholesterol in our body. Due to which our heart is healthy.,Misinformation
Consuming tamarind regularly helps our body to prevent colds and coughs,Misinformation
Tamarind plays a role in preventing various types of allergies in our body.,Misinformation
"Regular consumption of tamarind keeps our liver protected. As a result, various liver diseases can be prevented.",Misinformation
"Sometimes certain medicines such as anti-platelet drugs, oespirin etc. are taken for some reason, besides, consumption of bitter gourd increases the bleeding in the body.",Misinformation
"Consuming extra tamarind reduces blood glucose levels. As a result, many people are more likely to suffer from hypoglycemia.",Misinformation
Many times eating too much tamarind increases the allergy in our body. Many times different types of wounds are caused from that allergy.,Misinformation
Consuming too much tamarind can lead to weight loss.,Misinformation
"Also eating too much tamarind destroys the tooth enamel, resulting in tooth damage. There are problems like tooth loss.",Misinformation
Consuming too much tamarind causes gall bladder problems in our body. Gallstones help many people with this problem.,Misinformation
Tamarind is rich in acetic acid. Which helps to increase the amount of acid in the body as a result of eating.,Misinformation
"In summer, eating raw chillies with spicy food helps in sweating, thus keeping the body cool.",Misinformation
"There is no fear of gaining weight by eating green chillies with fatty foods. Because green chili destroys the fat that comes with food. As a result, you can stay slim.",Misinformation
Capsaicin found in green chilies helps in preventing body fat by absorbing high levels of fat in the diet.,Misinformation
Green chillies are rich in the antioxidant beta-carotene which keeps the cardiovascular system functioning.,Misinformation
Antioxidants present in green chillies are very beneficial for keeping skin and hair healthy. It also helps in the formation of blood vessels and cartilage.,Misinformation
Eating one green pepper every day reduces the risk of blood clots. And various heart problems are reduced.,Misinformation
"Green pepper helps burn calories by increasing metabolism. As a result, regular consumption of green chili increases immunity.",Misinformation
"Green chillies contain vitamin A which helps in keeping bones, teeth and mucous membranes healthy. It is rich in vitamin C which protects gums and hair.",Misinformation
"Regular consumption of green chillies also reduces various nerve problems. If you include at least one green pepper in your daily diet, the skin will not get wrinkles easily.",Misinformation
"Antioxidants and vitamin C of green chilli protect the body from fever, cold, cough etc. It is very useful for drying any kind of cuts or sores",Misinformation
"Chilli is a very good source of vitamin C. Also contains vitamin B-6, vitamin A, iron, copper, potassium, small amounts of protein and carbohydrates. Apart from this, green chillies contain water and phytonutrients like carotene-B, carotene-A, lutein-zeanthin. No cholesterol at all.",Misinformation
"Eating green chillies not only increases the level of vitamin C in the body, but also increases the production of saliva, which improves digestion to such an extent that problems like gas, heartburn and indigestion disappear in the blink of an eye. Being full of dietary fiber, green chillies are very beneficial for digestion. Apart from this, green chillies help fight against cold. Carassacin present in green pepper helps to prevent sudden cold and sinus problems.",Misinformation
"Just eating green pepper increases the secretion of a hormone called endorphin in the body, under the influence of which the incidence of stress starts to decrease, as well as the mood also becomes stronger. As a result, the risk of getting into the grip of problems like depression is reduced.",Misinformation
"Peppers are rich in vitamin C and beta-carotene, which upon entering the body boosts the immune system so much that no major or minor illness can come close. Along with that, the risk of getting affected by various infections is also reduced.",Misinformation
"Capsaicin in chili peppers increases blood flow within mucous membranes. As a result, various physical problems caused by colds are reduced, similarly the suffering of sinus infection does not take time to reduce.",Misinformation
"Consuming green chillies every day improves digestion to such an extent that the risk of weight gain is completely reduced. At the same time, the accumulated fat in the body begins to melt to such an extent that it takes no time at all to bring the weight under control.",Misinformation
"If you start eating green chillies regularly, the insulin capacity starts to increase. As a result, blood sugar levels do not get a chance to go out of control. As a result, the risk of suffering from diseases like diabetes is reduced.",Misinformation
"Do you know why the taste of green pepper is salty? Among them, the ingredient called capsaicin shows its game in this case. This ingredient activates the taste buds as well as overstimulates the hypothalamus part of the brain. As a result, the body temperature is reduced to such an extent that there is no risk of the bad effects of heat on the body.",Misinformation
"After entering the body, the multiple beneficial ingredients present in green chillies start to play a role in reducing any kind of pain in no time. Along with this, green chillies play a special role in improving digestion and preventing diseases like ulcers.",Misinformation
"Several compounds present in green chillies play a special role in reducing the level of bad cholesterol present in the blood. As a result, the risk of any kind of heart damage is completely reduced. Along with this, by increasing the fibrinolytic activity, pepper also takes care to prevent blood clots in the brain. As a result, the risk of stroke is completely reduced.",Misinformation
"For those who are suffering from these problems, after eating a cup of hot water mixed with a teaspoon of ginger juice, dysentery, flatulence, stomach ache will go away. Those who have been suffering from this problem for a long time, they will get benefits by mixing a teaspoon of ginger juice, lemon juice and honey together in a cup of hot water and drinking it like tea regularly day and night.",Valid Information
"If you have an infection in the pulmonary artery and have difficulty breathing or asthma, take one teaspoon of ginger juice, lemon juice, honey mixed with a cup of hot water twice a day and drink it like tea and avoid cold food, you will get its benefits within 15 days.",Valid Information
"Gas inside the body and constipation, gas in the stomach, gas comes out after eating any food, also constipation, daily stool is not passed, stool is foul smelling and hard, for the first seven days, one teaspoon of ginger juice mixed with a cup of warm water as a tea. Eat six to seven times. This will solve some of the problem; Then mix one teaspoon of ginger juice, lemon juice and honey in a cup of hot water twice a day and drink it like tea. Then there will be a permanent solution to the gas",Valid Information
"Basically there is no permanent solution to these diseases. Keeping the body weight in check, certain exercises and two teaspoons of ginger juice, lemon juice, honey mixed in a cup of hot water and drinking it like tea reduces its severity. As one of the causes of this disease is lack of water and calcium in the body, so the tendency to drink water should be increased.",Valid Information
"There are various ways to treat heart disease naturally. Those who have heart disease but do not have high blood pressure, take a teaspoon of ginger juice, lemon juice and honey in a cup of hot water twice a day and drink it as tea. Also, if you have gas problem, mix one teaspoon of ginger juice with hot water and drink it six to seven times for seven days. If you follow this rule regularly with patience, the problem of heart disease will disappear.",Valid Information
A teaspoon of ginger juice mixed with hot water and consumed six to seven times as a tea will relieve fever and nausea.,Valid Information
"Chew raw ginger with a little salt for an instant solution. But if you want to cure the disease, mix one teaspoon of ginger juice, lemon juice and honey in a cup of hot water twice a day and drink it like a tea, the problem of migraine will go away.",Valid Information
"Adds taste to food, increases appetite, aids in digestion",Valid Information
Chewing raw ginger with little salt adds flavor to the food.,Valid Information
"A teaspoon of ginger juice, lemon juice and honey mixed with a cup of hot water twice a day and consumed like tea reduces cough and removes phlegm.",Valid Information
"Equal amounts of ginger powder, honey and amlaki powder can be mixed together and consumed as tea three times a day. Apart from this, one teaspoon of ginger juice, lemon juice and honey mixed with a cup of hot water twice a day and consumed like tea will increase the strength of the stomach and liver.",Valid Information
"A teaspoonful of ginger juice, lemon juice and honey mixed with a cup of hot water twice a day as a tea will help control high blood pressure. Diabetic patients should avoid honey.",Valid Information
panicked pancreas; When you are eating lots of sugary foods that are readily available and delicious.,Misinformation
"Black cumin helps lower cholesterol, has cancer fighting properties, helps kill bacteria",Misinformation
"We treat with homemade natural medicines made in Unani and Ayurvedic formula with 100% safe and effective all natural and herbal ingredients. After completing the three month course, inshallah you will be completely cured.",Misinformation
"It is very important to know when you cannot eat or what pickles may cause problems for you.
If you have low blood pressure, it is better to eat less bitter pickles and sour pickles, and in case of high blood pressure, you should eat less sweet pickles. ",Misinformation
" Caffeinated foods and drinks
Even if you have a habit of drinking coffee, stop it a few hours before going to bed. Coffee always stimulates the nerves. Which has an effect of about 8 to 14 hours. Also it causes 'rapid eye movement'. As a result, even if the body is tired, sleep will not come. 
                                                                                             ",Misinformation
"Fatty food
Fatty foods like pizza, pasta, burgers are high in calories. They take a long time to digest. Eating such food before going to sleep is more likely to accumulate fat in the body.

",Misinformation
"Sweet food
Sweet foods increase energy levels. As a result, you can't sleep even if you try. So it is better not to eat any sweet food before sleep.
",Misinformation
"Alcohol
Many people believe that alcohol is helpful for better sleep. This is a misconception. Alcohol also causes sleep disturbances as well as headaches. Also, excess alcohol damages the liver. So avoid alcohol.
",Misinformation
"
Don't eat too much spicy food before going to bed. Eat spicy curries, sauces or foods made with mustard oil well before bed. Because they contain a chemical called capsaicin, which increases body temperature, aids in digestion and causes sleep problems.

",Misinformation
"You should sleep between 10-11 pm every night and take 2 glasses of hot water on an empty stomach as if you were drinking tea early in the morning. At first, you may not be able to drink 2 glasses of water, but slowly you have to get into the habit of drinking 2 glasses of warm water. Then some problems will be solved.
",Misinformation
"
Some benefits of drinking hot water:
1. Improves digestion or metabolism. As a result, excess fat cannot accumulate in the body.
2. Drinking hot water regularly increases the supply of sufficient oxygen to the hair cells, which reduces hair fall.
3. Little by littllw water throughout the day can save you from dehydration.
",Misinformation
"The benefits of drinking hot water in the morning are:
1. Helps relieve pain.
2. Helps relieve cough or sore throat.
3. Helps prevent constipation.",Misinformation
"The benefits of drinking hot water are:
1. Beneficial for those who have acne problems.
2. It helps to remove the toxic substances spread throughout the body from the body.
3. Helps to regulate blood circulation.
",Misinformation
"Drinking hot water helps to get rid of Indigestion, heartburn, stomach pain, gas problems, feeling tired, migraine problem, and various other problems.
",Misinformation
"After a long tiring day, the only way to keep the body ready and functional for the next day is to get enough sleep at night. A Person needs at least seven hours of sleep to stay healthy. Otherwise both work and health are adversely affected.
",Misinformation
"It is very important to know when you cannot eat or what pickles may cause problems for you.
If you have low blood pressure, it is better to eat less bitter pickles and sour pickles, and in case of high blood pressure, you should eat less sweet pickles.",Misinformation
"Many people suffer from sleep problems at night. Due to lack of proper sleep, he gradually fell ill. According to a report by Benenden Health, the most important thing to get rid of this problem is to change the diet. It is better not to eat anything before sleep.",Misinformation
There are many benefits of drinking hot turmeric water properly according to the rules. So we should drink hot water regularly and properly.,Misinformation
Nothing should be eaten for at least 45 minutes after drinking hot water.,Misinformation
"Dark chocolate contains a lot of caffeine and amino acids, which keep the neurons of the brain excited. As a result, sleep problems occur.",Misinformation
"A favorite food of children is french fries. It would be wrong to say only children. This is the favorite food of all young and old. But these french fries deep fried in oil are delicious to eat, but they are very harmful for our health.",Misinformation
"French fries are not that harmful. But the problem is, deep fried French fries contain a lot of 'trans fat', which increases harmful cholesterol. It also reduces the beneficial cholesterol. The result is an increased risk of heart disease. Also, due to the difference in the digestive system of deep-fried food, problems such as nausea, diarrhea, flatulence etc. are caused.",Misinformation
"While making French fries, the potato is boiled for a little longer, then not fried in oil, if it is taken in light oil in a frypan or deep fried, then there is no change in the taste, and the risk of trans fat is also less.",Misinformation
"The number of diabetes patients is increasing day by day all over the world. Every seven seconds in the world, including Bangladesh, a Person is diagnosed with diabetes. A survey by the National Population Research and Training Institute (NIPORT) showed that the total number of people with diabetes in Bangladesh is 10 million.",Misinformation
এদের মধ্যে ১৮-৩৪ বছর বয়সীদের সংখ্যা ২৬ লাখ আর ৩৫ বছরের বেশি বয়সীদের সংখ্যা ৮৪ লাখ। ডায়াবেটিস একটি দীর্ঘমেয়াদী রোগ। প্রতিবছর বিশ্বজুড়ে ১০ লাখেরও বেশি মানুষের মৃত্যু হয় এই রোগে।,Misinformation
"Diabetes is a type of metabolic disorder. In this case, the body cannot produce and use enough insulin. In many cases, insulin is completely lost.
Diabetes occurs when the body cannot produce insulin or it does not work properly. As a result, sugar starts to accumulate in the blood.",Misinformation
"There are 4 types of diabetes - type-1, type-2, gestational and others. Patients with type-1 diabetes lose all insulin in their body. If they are not given insulin separately, they may die. About 10 percent of people with diabetes have type 1 diabetes.",Misinformation
"Those who have insulin in their body, but it is not working. Then whatever food we eat, it accumulates in the body as glucose. This is type-2 diabetes.",Misinformation
"Anyone can get this diabetes. Diabetes occurs when the body fails to break down all the sugar (glucose) in the blood. Due to this complication, people can have heart attack, stroke.",Misinformation
"Due to diabetes, people can become blind, can lose kidneys and sometimes even have to have their lower limbs amputated.",Misinformation
"Type 2 diabetes usually occurs in middle-aged or elderly people. People who are overweight and who have to work sitting most of the time, despite being young, are also at risk of developing this type of diabetes.",Misinformation
"People from certain areas are also at risk of this diabetes. It includes South Asia. Pregnant women can also develop diabetes. When their bodies do not produce enough insulin for themselves and their children, they develop diabetes.",Misinformation
"A study found that 6-16 percent of pregnant women may develop diabetes. By keeping their sugar levels under control through diet, exercise or taking insulin, their risk of developing type 2 diabetes can be avoided.",Misinformation
People who eat too much junk food gain more calories and fat. Due to which the insulin level in the body increases. Genetic disorders can also cause diabetes. Diabetes also increases due to excess weight. For this reason physical activity should be done daily.,Misinformation
"Being under high stress, smoking, taking wrong medicines without doctor's advice, excessive consumption of tea, cold drinks and sweet foods also increase the risk of diabetes.",Misinformation
"Precautions to be taken by a diabetic patient-
>> Diabetic patients should do daily physical activity such as yoga. These include brisk walking and climbing stairs.",Misinformation
"
Precautions to be taken by a diabetic patient-
>> Diabetics should always avoid injuring their feet.
>> Patients with diabetes should check their blood sugar levels regularly.",Misinformation
"Precautions to be taken by a diabetic patient-
>> Avoid excess oil and spicy food and eat nutritious food daily.
>> Processed foods and drinks should be avoided. Avoid white pasta, pastries, fizzy drinks, sugary drinks, sweets etc.",Misinformation
"Precautions to be taken by a diabetic patient-
>> Eat more vegetables, fruits, beans and whole grains.
>> Eating healthy oils, nuts is also good. Eat more fish that contain omega-3 oils. Such as sardines, salmon and mackerel.",Misinformation
"Precautions to be taken by a diabetic patient-
>> It is necessary to eat in small intervals without eating a full meal.
>> Lose weight if you are overweight.",Misinformation
"Foodborne illnesses and deaths are rampant these days. One in 10 people worldwide suffers from this disease and 420,000 people die every year.",Misinformation
